experiment_id,run_group,seed,variant,payload_version,pass,fail_reasons,state_calibrate,instruction_address,calib_complete,bist_done,correct_read_data,wrong_read_data,abort_seen,abort_reason,abort_reason_name,abort_lane,abort_state,abort_instruction,abort_start_index_check,abort_lane_write_dq_late,abort_lane_read_dq_early,abort_dq_target_index,abort_data_start_index,idelay_data_tap_mismatch_seen,idelay_dqs_tap_mismatch_seen,data_mismatch_lane_mask,dqs_mismatch_lane_mask,reset_from_calibrate_ever,reset_from_test_ever,sync_rst_reasserted_after_release,phy_reset_reasserted_after_release,wrong_read_seen,bitstream_sha256,result_json,finished_at,nextpnr_json,cvc_sdf,fasm,interpretation
idelay-control-locked-seed1,pre_abort_instrumentation,1,cntvaluein_only,1,True,,23,,True,True,100663295,0,,,,,,,,,,,,,,,,,,,,,ffd02510487f7ea370f7a3371f9e68d221f7a967a6cfa679e154c2a6605ddf50,artifacts/hardware/idelay-control-locked-seed1.json,2026-05-27T12:40:09.635344+00:00,,,,passes
idelay-control-locked-seed2,pre_abort_instrumentation,2,cntvaluein_only,1,True,,23,,True,True,100663295,0,,,,,,,,,,,,,,,,,,,,,b9ee853031bd37dbce5449f07a0da234e8ace478b833d0447bee35baf40749d5,artifacts/hardware/idelay-control-locked-seed2.json,2026-05-27T12:41:07.690896+00:00,,,,passes
baseline-seed3,pre_abort_instrumentation,3,baseline,1,True,,23,,True,True,100663295,0,,,,,,,,,,,,,,,,,,,,,ad8cff2246b93620e1caba74cb98318899a35f582cb52582a59ca53e760fe35c,artifacts/hardware/baseline-seed3.json,2026-05-27T13:06:06.827173+00:00,,,,passes
idelay-control-locked-seed3,pre_abort_instrumentation,3,cntvaluein_only,1,False,"calib_incomplete,calib_state_not_done,bist_not_done,wrong_read_data_nonzero",17,,False,False,73,1,,,,,,,,,,,,,,,,,,,,,9f5e1de0d49ccc9c1f89b663c06bc815852f600467333a1131344895cca4178e,artifacts/hardware/idelay-control-locked-seed3.json,2026-05-27T12:48:14.027906+00:00,,,,fails without captured abort or old payload lacks abort fields
idelay-control-full-locked-seed3,pre_abort_instrumentation,3,cntvaluein_plus_ld_parent,1,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,,False,False,0,0,,,,,,,,,,,,,,,,,,,,,9342d7af43eeda7e9963f2ff5a2cb23bc88846cc55a5a40ce2676dc8f6edd698,artifacts/hardware/idelay-control-full-locked-seed3.json,2026-05-27T13:00:06.291261+00:00,,,,fails without captured abort or old payload lacks abort fields
instrumented-seed3-baseline,payload_v2_startup_idelay,3,baseline,2,True,,23,22,True,True,100663295,0,,,,,,,,,,,,False,False,0,0,False,False,False,False,False,9fda4b3054a30b5982781f97b3f02faf1e6e669bedc404c10f799644ba3fc8ea,artifacts/hardware/instrumented-seed3-baseline.json,2026-05-27T14:04:11.891202+00:00,result-nextpnr-json-seed3-instrumented-baseline/ypcb_00338_1p1_ddr3.placed.json,result-cvc-sdf-seed3-instrumented-baseline/ypcb_00338_1p1_ddr3.cvc.sdf,,passes
instrumented-seed3-idelay-control-locked,payload_v2_startup_idelay,3,cntvaluein_only,2,True,,23,22,True,True,100663295,0,,,,,,,,,,,,False,False,0,0,False,False,False,False,False,7a5c36a31a6e23eb8837133772e4b313f57efb74e8369ba5ac0b327e877f2818,artifacts/hardware/instrumented-seed3-idelay-control-locked.json,2026-05-27T14:04:59.237718+00:00,result-nextpnr-json-seed3-instrumented-idelay-control-locked/ypcb_00338_1p1_ddr3.placed.json,,,passes
instrumented-seed3-idelay-control-full-locked,payload_v2_startup_idelay,3,cntvaluein_plus_ld_parent,2,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,False,False,0,0,,,,,,,,,,,,False,False,0,0,True,False,True,True,False,6b9122496b13567f7410123eacc7e0d5b8203a5c59f5058515ec54521e8e7110,artifacts/hardware/instrumented-seed3-idelay-control-full-locked.json,2026-05-27T14:05:58.628616+00:00,result-nextpnr-json-seed3-instrumented-idelay-control-full-locked/ypcb_00338_1p1_ddr3.placed.json,,,fails without captured abort or old payload lacks abort fields
v3-seed3-baseline,payload_v3_wide,3,baseline,3,False,"calib_incomplete,calib_state_not_done,bist_not_done",4,13,False,False,0,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,False,False,False,False,False,d34243de938490cbb5ffa3551fa96eda9b471cda6d9987e0a732629ed5fe3dbd,artifacts/hardware/v3-seed3-baseline.json,2026-05-27T14:43:58.140220+00:00,,,,fails without captured abort or old payload lacks abort fields
v3-min-seed3-baseline,payload_v3_min,3,baseline,3,False,"calib_incomplete,calib_state_not_done,bist_not_done,wrong_read_data_nonzero",17,22,False,False,1,1,True,2,check_starting_data_search_exhausted,0,14,22,0,True,False,35,0,False,False,0,0,True,True,True,True,True,8c183facd87afe96291a8a2a897bb4bc7327cc92ff8f7ef491a68696558f4f64,artifacts/hardware/v3-min-seed3-baseline.json,2026-05-27T14:48:15.663843+00:00,result-nextpnr-json-seed3-v3-min-baseline/ypcb_00338_1p1_ddr3.placed.json,result-cvc-sdf-seed3-v3-min-baseline/ypcb_00338_1p1_ddr3.cvc.sdf,,observer_perturbed_baseline; abort reason 2 lane 0; not a clean baseline pass
v3-min-seed3-baseline-rerun,payload_v3_min,3,baseline,3,False,"calib_incomplete,calib_state_not_done,bist_not_done,wrong_read_data_nonzero",0,2,False,False,8,2,True,2,check_starting_data_search_exhausted,0,14,22,0,True,False,35,0,False,False,0,0,True,True,True,True,True,8c183facd87afe96291a8a2a897bb4bc7327cc92ff8f7ef491a68696558f4f64,artifacts/hardware/v3-min-seed3-baseline-rerun.json,2026-05-27T14:49:11.044037+00:00,result-nextpnr-json-seed3-v3-min-baseline/ypcb_00338_1p1_ddr3.placed.json,result-cvc-sdf-seed3-v3-min-baseline/ypcb_00338_1p1_ddr3.cvc.sdf,,observer_perturbed_baseline; abort reason 2 lane 0; not a clean baseline pass
v3-min-seed3-idelay-control-locked,payload_v3_min,3,cntvaluein_only,3,True,,23,22,True,True,100663295,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,False,False,False,False,False,1d8896f2d49fd02434982558cfbda75725106d5f7872ddba124d58b9548fdbd5,artifacts/hardware/v3-min-seed3-idelay-control-locked.json,2026-05-27T14:56:35.255174+00:00,result-nextpnr-json-seed3-v3-min-idelay-control-locked/ypcb_00338_1p1_ddr3.placed.json,,,passes with reduced abort observer and regenerated locks
v3-min-seed3-idelay-control-full-locked,payload_v3_min,3,cntvaluein_plus_ld_parent,3,True,,23,22,True,True,100663295,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,False,False,False,False,False,77b7bc3eacbe929eb001a330cfae22407984c396bf2d82a5165ae6f86f30ccde,artifacts/hardware/v3-min-seed3-idelay-control-full-locked.json,2026-05-27T14:57:21.217247+00:00,result-nextpnr-json-seed3-v3-min-idelay-control-full-locked/ypcb_00338_1p1_ddr3.placed.json,,,passes with reduced abort observer and regenerated locks
idelay-control-locked-seed4,pre_abort_instrumentation,4,cntvaluein_only,1,True,,23,,True,True,100663295,0,,,,,,,,,,,,,,,,,,,,,e13007b676ac36fe59ae1afddd3a85b6af65f0df032e31bd66550469cf7b4253,artifacts/hardware/idelay-control-locked-seed4.json,2026-05-27T12:49:05.952624+00:00,,,,passes
baseline-seed5,pre_abort_instrumentation,5,baseline,1,True,,23,,True,True,100663295,0,,,,,,,,,,,,,,,,,,,,,026ca92843c4eddd7702773bb943fec3ba6ea1a67a6a66f856f14d18a1a0dad5,artifacts/hardware/baseline-seed5.json,2026-05-27T13:06:53.802427+00:00,,,,passes
idelay-control-locked-seed5,pre_abort_instrumentation,5,cntvaluein_only,1,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,,False,False,0,0,,,,,,,,,,,,,,,,,,,,,e6b58efc164a625543ff77bd0ebbb2ac0d047e023ebfd09c83caf823b2af33f3,artifacts/hardware/idelay-control-locked-seed5.json,2026-05-27T12:49:59.907576+00:00,,,,fails without captured abort or old payload lacks abort fields
idelay-control-full-locked-seed5,pre_abort_instrumentation,5,cntvaluein_plus_ld_parent,1,True,,23,,True,True,100663295,0,,,,,,,,,,,,,,,,,,,,,d3c4a91c9df8d6ae227bd1e39011a9496bd16b23f4e90adb58adced2df7b406a,artifacts/hardware/idelay-control-full-locked-seed5.json,2026-05-27T13:00:51.958256+00:00,,,,passes
exact-abort-seed3-baseline,payload_v3_exact_abort,3,baseline,3,True,,23,22,True,True,100663295,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,False,False,False,False,False,e794dcc32aad794e7590259f6dfcbc4b2dbadb37966db917716e38544b3bfa8a,artifacts/hardware/exact-abort-seed3-baseline.json,2026-05-27T16:02:01.720826+00:00,result-cvc-sdf-seed3-exact-abort-baseline/ypcb_00338_1p1_ddr3.placed.json,result-cvc-sdf-seed3-exact-abort-baseline/ypcb_00338_1p1_ddr3.cvc.sdf,,passes with exact abort snapshot; no abort captured; no tap mismatch
exact-abort-seed3-idelay-control-locked,payload_v3_exact_abort,3,cntvaluein_only,3,True,,23,22,True,True,100663295,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,False,False,False,False,False,29d735b6f462e12cac8d4ba980cb2183f6071949db87f4d67cff020778f8c99b,artifacts/hardware/exact-abort-seed3-idelay-control-locked.json,2026-05-27T16:02:47.504709+00:00,result-cvc-sdf-seed3-exact-abort-idelay-control-locked/ypcb_00338_1p1_ddr3.placed.json,result-cvc-sdf-seed3-exact-abort-idelay-control-locked/ypcb_00338_1p1_ddr3.cvc.sdf,,passes with exact abort snapshot and regenerated CNTVALUEIN locks; no abort captured; no tap mismatch
exact-abort-seed3-idelay-control-full-locked,payload_v3_exact_abort,3,cntvaluein_plus_ld_parent,3,False,"calib_incomplete,calib_state_not_done,bist_not_done",0,1,False,False,0,0,True,2,check_starting_data_search_exhausted,0,14,22,48,True,False,33,0,False,False,0,0,True,False,True,True,False,f5aa1f85e878a34a8c31dfc88cc221aa442d959101839165a79f622109902127,artifacts/hardware/exact-abort-seed3-idelay-control-full-locked.json,2026-05-27T16:03:36.937927+00:00,result-cvc-sdf-seed3-exact-abort-idelay-control-full-locked/ypcb_00338_1p1_ddr3.placed.json,result-cvc-sdf-seed3-exact-abort-idelay-control-full-locked/ypcb_00338_1p1_ddr3.cvc.sdf,,fails with exact CHECK_STARTING_DATA abort lane 0 start_index_check=48 dq_target_index=33; no tap mismatch; regenerated CNTVALUEIN+LD locks are diagnostic not a fix
baseline-no-lock-seed-1,baseline_no_lock_seed_1_30,1,baseline-no-lock,3,True,,23,22,True,True,100663295,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,False,False,False,False,False,93559ae7c9e7dd011567a22638637edc9f0bd9ff10be7305a0c23f2ce7d0b66b,artifacts/hardware/baseline-no-lock-seed-1-30/baseline-no-lock-seed-1.json,2026-05-27T18:58:10.237723+00:00,/nix/store/ahfyga4ylg7y4f2g9bg46rf6dpdbn7mg-ypcb-ddr3-nextpnr-json-seed-1/ypcb_00338_1p1_ddr3.placed.json,/nix/store/7x1d974s848wf73zrj1zdinfqji2pm0p-ypcb-ddr3-cvc-sdf-seed-1/ypcb_00338_1p1_ddr3.cvc.sdf,,passes calibration and BIST
