hypothesis_id,source,failure_class,feature_layer,feature,metric,family,lane,bit,control_bit,evidence,matched_pair_support,recommended_intervention,status
HD-001,transition_delta,transition_specific,skew,abs_idelayctrl_minus_reset_release__startup_relative_skew__all__no_bit__ctrl_none__idelayctrl_vs_reset__value_ps,abs_idelayctrl_minus_reset_release,startup_relative_skew,all,,,fail_to_pass median -51.5 vs pass_to_fail median -514.0; contrast -462.5,43,Constrain or instrument IDELAYCTRL/reset release sequencing; verify reset leaves calibration only after IDELAYCTRL ready is stable.,hypothesis_generated
HD-002,transition_delta,transition_specific,skew,signed_idelayctrl_minus_reset_release__startup_relative_skew__all__no_bit__ctrl_none__idelayctrl_vs_reset__value_ps,signed_idelayctrl_minus_reset_release,startup_relative_skew,all,,,fail_to_pass median -51.5 vs pass_to_fail median -514.0; contrast -462.5,43,Constrain or instrument IDELAYCTRL/reset release sequencing; verify reset leaves calibration only after IDELAYCTRL ready is stable.,hypothesis_generated
HD-003,transition_delta,transition_specific,sdf,direct_max__idelay_data_cntvaluein__lane1__dq10__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq10,0,fail_to_pass median -362.5 vs pass_to_fail median 97.0; contrast 459.5,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-004,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,2,fail_to_pass median 8.0 vs pass_to_fail median 551.5; contrast 543.5,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-005,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq10__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq10,0,fail_to_pass median 145.5 vs pass_to_fail median -475.0; contrast -620.5,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-006,transition_delta,transition_specific,sdf,direct_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane0,dq5,,fail_to_pass median 305.0 vs pass_to_fail median -125.5; contrast -430.5,43,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-007,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq7__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq7,0,fail_to_pass median 232.0 vs pass_to_fail median -298.0; contrast -530.0,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-008,transition_delta,transition_specific,sdf,direct_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps,direct_max,dq_iologic,lane1,dq9,,fail_to_pass median -166.0 vs pass_to_fail median -551.5; contrast -385.5,43,Inspect lane/DQ/DQS placement and calibration tap observability; consider lane-local placement constraints only after delta validation.,hypothesis_generated
HD-009,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane1__dq11__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane1,dq11,0,fail_to_pass median 134.5 vs pass_to_fail median -391.5; contrast -526.0,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-010,transition_delta,transition_specific,sdf,direct_max__idelay_data_cntvaluein__lane1__dq10__ctrl_4__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq10,4,fail_to_pass median -163.0 vs pass_to_fail median 220.5; contrast 383.5,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-011,transition_delta,transition_specific,skew,signed_dqs_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_0__dqs_vs_dq_lane__value_ps,signed_dqs_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,0,fail_to_pass median 147.75 vs pass_to_fail median -404.75; contrast -552.5,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-012,transition_delta,transition_specific,skew,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq3__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq3,0,fail_to_pass median 285.5 vs pass_to_fail median -227.0; contrast -512.5,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
HD-013,transition_delta,transition_specific,sdf,direct_max__idelay_data_cntvaluein__lane1__dq14__ctrl_0__endpoint__value_ps,direct_max,idelay_data_cntvaluein,lane1,dq14,0,fail_to_pass median -382.5 vs pass_to_fail median -5.0; contrast 377.5,43,Localize IDELAY programming cone or add high-level RTL/registering to reduce CNTVALUEIN fanout and skew sensitivity.,hypothesis_generated
