experiment_id,metrics_group,metric_sample,metric_status,hardware_pass,seed,run_group,variant,payload_version,fail_reasons,state_calibrate,instruction_address,calib_complete,bist_done,wrong_read_data,abort_seen,abort_reason,abort_reason_name,abort_lane,abort_state,abort_instruction,abort_start_index_check,abort_lane_write_dq_late,abort_lane_read_dq_early,abort_dq_target_index,abort_data_start_index,idelay_data_tap_mismatch_seen,idelay_dqs_tap_mismatch_seen,data_mismatch_lane_mask,dqs_mismatch_lane_mask,bitstream_sha256,sdf_sha256,nextpnr_json_sha256,result_json,nextpnr_json,cvc_sdf,interpretation,feature,value_ps,metric,family,lane,bit,control_bit,scope,count,min_ps,median_ps,p95_ps,max_ps,spread_ps
cntvaluein3-skew-locked-seed-31,seed-31-60-cntvaluein3-lock,cntvaluein3-skew-locked-seed-31,pass,True,31,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,0145fcc0eeb48fb44a6a59a5c47b4ca89cb494a87f2e9dc938ac8f577f31a008,fd437779018bfc2c9706232e237a0f7863ba93a00d155f55c8f7234d0b939c30,712ed5ab10e9d112b5998ddc2f08b21521d7a6daedae211871123726faefe19e,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-31.json,/nix/store/ska3k63a4dvzfkx4i2hmy2xjg3lb07ls-ypcb-ddr3-nextpnr-json-seed-31-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/xnp6a5a97258bm9n1knbvn20a4wrg6yw-ypcb-ddr3-cvc-sdf-seed-31-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,1135.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1207.0,1700.0,2342.0,2342.0,1135.0
cntvaluein3-skew-locked-seed-32,seed-31-60-cntvaluein3-lock,cntvaluein3-skew-locked-seed-32,pass,True,32,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,d99a6745e5f4f55189a813879d656c5c6593ac92a00b9f1c55a5a18a3a2675d1,f1183ad5367ee95ca2fd17ae9ef547034e48d144b28da48031d2de6a375699a0,3c6bc03d7550d2098dcbb96be63dd6e4b58624867feb496e320c025d48a096eb,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-32.json,/nix/store/9jzpy99k6xm72ifd17qw2q8c7baa30j8-ypcb-ddr3-nextpnr-json-seed-32-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/2ik576xdlabgwahzcj14ivskzdhs9jy8-ypcb-ddr3-cvc-sdf-seed-32-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,1427.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,819.0,1090.0,2246.0,2246.0,1427.0
cntvaluein3-skew-locked-seed-33,seed-31-60-cntvaluein3-lock,cntvaluein3-skew-locked-seed-33,fail,False,33,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,3,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,False,False,0,True,2,check_starting_data_search_exhausted,0,14,22,48,True,False,33,0,False,False,0,0,b4a3a04940439db650ec6dd5a9dfdecbc59fccece75711d9a18987342b4c3227,4dc051dad44a8547753d524bd8864607cf5585378c51b879d1c0b56d33b519b2,ab5aa2a03538393ee0d67eeb45446d9425892cb2bb2fc98e03a31c6368ef9d55,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-33.json,/nix/store/njk4rks488ah3zixycbqqz9m5wlrbv6a-ypcb-ddr3-nextpnr-json-seed-33-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/538193v05gkbxwyzvr8cya1cp9kvnkjj-ypcb-ddr3-cvc-sdf-seed-33-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,fails after check_starting_data_search_exhausted; final state 0 instruction 2; lane 0 start_index_check=48 dq_target_index=33,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,594.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1511.0,1740.0,2105.0,2105.0,594.0
cntvaluein3-skew-locked-seed-34,seed-31-60-cntvaluein3-lock,cntvaluein3-skew-locked-seed-34,pass,True,34,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,6a5425816e6abb68919bd3813d21933456eb190859c58a7387aa0283565e40c5,397f57aad2ffa485c97fcff7a76d4fc2f79f10762d9e90d583ab504cf529301d,02463b7bd214ab289fc5a02673ab9cd51df59aac1e12743ddc1323756dd50489,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-34.json,/nix/store/b0digs9gg8q85pdb5vjhxg19v80b93nc-ypcb-ddr3-nextpnr-json-seed-34-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/kxvyljhsvj02r2jp2xwf7pz8lm62ip10-ypcb-ddr3-cvc-sdf-seed-34-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,1052.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1148.0,1276.0,2200.0,2200.0,1052.0
cntvaluein3-skew-locked-seed-35,seed-31-60-cntvaluein3-lock,cntvaluein3-skew-locked-seed-35,pass,True,35,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,8a93de658594853e1ebcc2ed2511255ccc6a2293332b19edc164c1e09badf98b,1c83db2ed10a5633e0859c71df4fd45ccf3c97b4285b72df6d7ad7f0189a665d,39c683a6b5a04c075c2a0dda014d8e3c298f543a97db411937bf416719f9df00,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-35.json,/nix/store/pac48h93z9jsvk9gay4r31fwy35jcfz5-ypcb-ddr3-nextpnr-json-seed-35-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/yv02j7q5rwgm16f4pc4g1siq7r3m6bd8-ypcb-ddr3-cvc-sdf-seed-35-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,1304.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,867.0,972.0,2171.0,2171.0,1304.0
cntvaluein3-skew-locked-seed-36,seed-31-60-cntvaluein3-lock,cntvaluein3-skew-locked-seed-36,fail,False,36,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,3,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,False,False,0,True,2,check_starting_data_search_exhausted,0,14,22,48,True,False,33,0,False,False,0,0,59ef4acb8f2be2b2e812598ecc79036596032bccd78552a48d9d9b1bb3dc5af4,e91ddf2e27acebc66594feb3f04afd3793d3d7088f955f3b347140381e759f2a,ea32bbe9a342f49917149dd5f48a88a88f2dac53e5bc1a2240d7e565589b9a11,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-36.json,/nix/store/w122inz0xsz4gpdasd14zaawwmqs6pgq-ypcb-ddr3-nextpnr-json-seed-36-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/c1wfmvx1isa9rw92wsp919pgcrzk6pk7-ypcb-ddr3-cvc-sdf-seed-36-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,fails after check_starting_data_search_exhausted; final state 0 instruction 2; lane 0 start_index_check=48 dq_target_index=33,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,646.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1332.0,1465.0,1978.0,1978.0,646.0
cntvaluein3-skew-locked-seed-37,seed-31-60-cntvaluein3-lock,cntvaluein3-skew-locked-seed-37,pass,True,37,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,df5198f7ac2b8fa63e27c09eb4fd1baceb8dea68071180953a5c2e2e9bad39dd,d6540d0a2b5e40bad6a9b214ac7630e0a54eea63b125c270f6240fc4f4df5300,7192990193ba3534f22f1e8531492f331d0d13900551154fc122c1ef9297d588,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-37.json,/nix/store/yarsg8bcsdj5v0f3m3f710iiffr3fw5m-ypcb-ddr3-nextpnr-json-seed-37-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/iy66pq0xfx23srdi51zlqaqv02qwyh16-ypcb-ddr3-cvc-sdf-seed-37-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,456.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1672.0,1791.0,2128.0,2128.0,456.0
cntvaluein3-skew-locked-seed-38,seed-31-60-cntvaluein3-lock,cntvaluein3-skew-locked-seed-38,pass,True,38,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,65560498f20ffe6a8be5df00ff21d3b30521e5978e70549a16d4b27c1cf66465,1dcbf16017e5d58ab6263c4698e8d8529423c2fbf55ec838afd635fcd3d73e11,fd88ed2930fdfd3c03eef202d0241d55e2fb62d6c8f345b49ec1ab5b3cc9ea72,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-38.json,/nix/store/qi44lq6jp9fqzfp2zm4myxg9l8xiq51i-ypcb-ddr3-nextpnr-json-seed-38-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/azq7j0rmrsqph9krzn23cj37vwz3nlx5-ypcb-ddr3-cvc-sdf-seed-38-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,397.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1708.0,1894.0,2105.0,2105.0,397.0
cntvaluein3-skew-locked-seed-39,seed-31-60-cntvaluein3-lock,cntvaluein3-skew-locked-seed-39,fail,False,39,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,3,"calib_incomplete,calib_state_not_done,bist_not_done",0,1,False,False,0,True,2,check_starting_data_search_exhausted,0,14,22,48,True,False,31,0,False,False,0,0,4669686b1766c593dde3c205942fa30ac7a70e7199dac3fc8102eb7f962b2bca,86e1aab89985439ec004e5a11d980cb4723f9c59b62a447a248fc6d0f6460261,7e0ed117d849d9d6fe4c9178ec12534ac32d014bb12e89b5a1b3787fb1bba4bc,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-39.json,/nix/store/xf2f0wydqynhbyaxhv7cgqa8b7kkprza-ypcb-ddr3-nextpnr-json-seed-39-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/b5lwwir5y8zswd2l90lrqdwz6358z7n9-ypcb-ddr3-cvc-sdf-seed-39-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,fails after check_starting_data_search_exhausted; final state 0 instruction 1; lane 0 start_index_check=48 dq_target_index=31,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,544.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1511.0,1876.0,2055.0,2055.0,544.0
cntvaluein3-skew-locked-seed-40,seed-31-60-cntvaluein3-lock,cntvaluein3-skew-locked-seed-40,pass,True,40,seed_31_60_baseline_cntvaluein3_lock_long_poll_500,cntvaluein3-skew-locked,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,36cab7044026ed276145cd2eaa04fa43f827d09ceca7af29ebb6f3e3d49572b4,191b6054532bd206a8f234b9bc81eac5d57153a0345b1f7f2c90740f79735fbe,ef69fc2662c8cfe62a14637bd1b6a29e658ef9299986a3439303c25a1de753f5,artifacts/hardware/seed-31-60-baseline-cntvaluein3-lock/cntvaluein3-skew-locked-seed-40.json,/nix/store/w9gszknwj9697s0cq9c1hdkp4290qkqy-ypcb-ddr3-nextpnr-json-seed-40-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/8q45hiz5pp15bzcmi6wkqrljsc0c6k3f-ypcb-ddr3-cvc-sdf-seed-40-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,passes calibration and BIST,cntvaluein_bus_skew__idelay_data_cntvaluein__lane0__dq0__ctrl_none__dq0__value_ps,771.0,cntvaluein_bus_skew,idelay_data_cntvaluein,lane0,dq0,,dq0,5,1347.0,2032.0,2118.0,2118.0,771.0
