seed,hardware_transition,baseline_experiment_id,locked_experiment_id,baseline_pass,locked_pass,baseline_abort_reason,locked_abort_reason,locked_abort_reason_name,feature,metric,family,lane,bit,control_bit,scope,baseline_value_ps,locked_value_ps,delta_ps,baseline_abs_ps,locked_abs_ps,delta_abs_ps,baseline_sign,locked_sign,sign_flip,abs_improved,abs_worsened
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane0__dqs0__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane0,dqs0,,dqs_vs_dq_bus_skew,-485.5,579.5,1065,485.5,579.5,94,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_bus_skew_minus_dq_median__idelay_cntvaluein_skew__lane1__dqs1__ctrl_none__dqs_vs_dq_bus_skew__value_ps,signed_dqs_bus_skew_minus_dq_median,idelay_cntvaluein_skew,lane1,dqs1,,dqs_vs_dq_bus_skew,164.5,2.5,-162,164.5,2.5,-162,positive,positive,False,True,False
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,0,dqs_vs_dq_bit,192,-77,-269,192,77,-115,positive,negative,True,True,False
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,1,dqs_vs_dq_bit,-409,339,748,409,339,-70,negative,positive,True,True,False
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,2,dqs_vs_dq_bit,694,855,161,694,855,161,positive,positive,False,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_3__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,3,dqs_vs_dq_bit,-229,605,834,229,605,376,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq0__ctrl_4__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq0,4,dqs_vs_dq_bit,-190,720,910,190,720,530,negative,positive,True,False,True
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_0__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,0,dqs_vs_dq_bit,291,-77,-368,291,77,-214,positive,negative,True,True,False
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_1__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,1,dqs_vs_dq_bit,-494,249,743,494,249,-245,negative,positive,True,True,False
1,pass_to_pass,baseline-no-lock-seed-1,cntvaluein3-skew-locked-seed1,True,True,0,0,none,signed_dqs_minus_dq_bit__idelay_cntvaluein_skew__lane0__dq1__ctrl_2__dqs_vs_dq_bit__value_ps,signed_dqs_minus_dq_bit,idelay_cntvaluein_skew,lane0,dq1,2,dqs_vs_dq_bit,781,768,-13,781,768,-13,positive,positive,False,True,False
