experiment_id,metrics_group,metric_sample,metric_status,hardware_pass,seed,run_group,variant,payload_version,fail_reasons,state_calibrate,instruction_address,calib_complete,bist_done,wrong_read_data,abort_seen,abort_reason,abort_reason_name,abort_lane,abort_state,abort_instruction,abort_start_index_check,abort_lane_write_dq_late,abort_lane_read_dq_early,abort_dq_target_index,abort_data_start_index,idelay_data_tap_mismatch_seen,idelay_dqs_tap_mismatch_seen,data_mismatch_lane_mask,dqs_mismatch_lane_mask,bitstream_sha256,sdf_sha256,nextpnr_json_sha256,result_json,nextpnr_json,cvc_sdf,interpretation,placement_manhattan_max__clocking__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq1__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq2__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq3__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq4__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq5__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq6__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane0__dq7__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq10__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq10__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq11__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq12__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq12__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq13__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq13__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq14__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq14__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq15__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq15__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq8__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq8__ctrl_none__endpoint__value_ps,placement_manhattan_max__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dq_iologic__lane1__dq9__ctrl_none__endpoint__value_ps,placement_manhattan_max__dqs_iologic__lane0__dqs0__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dqs_iologic__lane0__dqs0__ctrl_none__endpoint__value_ps,placement_manhattan_max__dqs_iologic__lane1__dqs1__ctrl_none__endpoint__value_ps,placement_manhattan_spread__dqs_iologic__lane1__dqs1__ctrl_none__endpoint__value_ps,placement_manhattan_max__reset_release__all__no_bit__ctrl_none__endpoint__value_ps,placement_manhattan_spread__reset_release__all__no_bit__ctrl_none__endpoint__value_ps
cntvaluein3-skew-locked-seed1,cntvaluein3-lock-heldout-long-poll,cntvaluein3-skew-locked-seed1,pass,True,1,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,26ee998f08dc8e191745b1da07671b7fc1964d138d3fb8e97bbaf54e5512ca46,d044698e11789aafc1d5b7058191180b9d8c043d86a7470109e7e80925a3d844,7d3d365d8f590abce1bd8a8120e82553baeb80932cb4808e42a01e3dbef7be0c,artifacts/hardware/cntvaluein3-lock-heldout-seeds/cntvaluein3-skew-locked-seed1.json,/nix/store/65b5vhg58hsqw4dyby96wc8lfdb8h059-ypcb-ddr3-nextpnr-json-seed-1-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/xpjjqdymdp9bs6im78shp4k572ycichb-ypcb-ddr3-cvc-sdf-seed-1-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,CNTVALUEIN3 two-cell lock passes baseline-pass-control seed 1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0
cntvaluein3-skew-locked-seed11,cntvaluein3-lock-heldout-long-poll,cntvaluein3-skew-locked-seed11,pass,True,11,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,d826d7d4b02cc6b253b12ccb1d163ea8ba5a90a48126c8ec7bd2260b0f23ba36,ce49dd7a4c1d90d2d27fdc99d30beea3acf5886c79c5afea80a52e54b4838f57,7e5167e45582ae0fb5cea70baf7cbe009e253631d7f69eb3c76a374a69ed0f7e,artifacts/hardware/cntvaluein3-lock-heldout-seeds/cntvaluein3-skew-locked-seed11.json,/nix/store/h50wsi4ckbhqma2c1bsa6185kqp3ak4b-ypcb-ddr3-nextpnr-json-seed-11-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/xmf3y10hqakk8zrx1xiijx087yh4iqkc-ypcb-ddr3-cvc-sdf-seed-11-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,CNTVALUEIN3 two-cell lock passes baseline-fail-reason2 seed 11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,6.0
cntvaluein3-skew-locked-seed12-long-poll,cntvaluein3-lock-heldout-long-poll,cntvaluein3-skew-locked-seed12-long-poll,fail,False,12,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,3,"calib_incomplete,calib_state_not_done,bist_not_done",3,13,False,False,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,31ccf66f6558b964889f0a6536e9bc8c618e0e57d2472c1c02317dd52ce73948,dcd2cd2d7e04f33318ecc1da3b60ca570a38e9107fec4bf3330359fd01eb2baa,aee46c5efd4ae241a2f12ae20be1e585a49497e3207c598997cd13ef97ffbdad,artifacts/hardware/cntvaluein3-lock-heldout-seeds-long-poll/cntvaluein3-skew-locked-seed12-long-poll.json,/nix/store/k76fgq4ll5paraxkb1dm87lmn9c0mv7d-ypcb-ddr3-nextpnr-json-seed-12-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/7n5rpw3554b7gwybn7dny5a31yavm28w-ypcb-ddr3-cvc-sdf-seed-12-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,long-poll retest still fails without abort; final state 3 instruction 13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0
cntvaluein3-skew-locked-seed16-long-poll,cntvaluein3-lock-heldout-long-poll,cntvaluein3-skew-locked-seed16-long-poll,fail,False,16,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,3,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,False,False,0,True,2,check_starting_data_search_exhausted,0,14,22,48,True,False,33,0,False,False,0,0,26a05683a9ffaf110a4266c0886fe4d51689e053b15a569a525cfe35f9ed6523,b0627881ebb187b57cc958cfbe5289a7e0f20a643d3b3bd9b48f544529d6a200,57cbc1638ee3527f881c82d3ea3b5cba91ff438f4b13baa9a1d8750a0be624b2,artifacts/hardware/cntvaluein3-lock-heldout-seeds-long-poll/cntvaluein3-skew-locked-seed16-long-poll.json,/nix/store/ya76snrny6p11wppwpz76j4ammyiqjj2-ypcb-ddr3-nextpnr-json-seed-16-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/sya4zl6f89bcdrif52g2gm8xwnymslpr-ypcb-ddr3-cvc-sdf-seed-16-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,long-poll retest still fails with check_starting_data_search_exhausted lane 0 start_index_check=48 dq_target_index=33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0
cntvaluein3-skew-locked-seed20,cntvaluein3-lock-heldout-long-poll,cntvaluein3-skew-locked-seed20,pass,True,20,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,3,,23,21,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,f1134991aef4c88dd4ff09d6e0ef599807df75a3fe1030a79fabf3d914649d21,7d5fdd521055db0fc102d329b785ab4bda7f5cde36be9457aba9229abb363878,ce276753c16eea02d4b8137e08451ce37bb0f8097bfcbe8d1640bf05bc862c61,artifacts/hardware/cntvaluein3-lock-heldout-seeds/cntvaluein3-skew-locked-seed20.json,/nix/store/fba0svx0q2j1f6ic2lnbyzz105147v3l-ypcb-ddr3-nextpnr-json-seed-20-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/0aqbbz7kqf99ris141aakhr98bd670y3-ypcb-ddr3-cvc-sdf-seed-20-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,CNTVALUEIN3 two-cell lock passes baseline-fail-reason2 seed 20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
cntvaluein3-skew-locked-seed23-long-poll,cntvaluein3-lock-heldout-long-poll,cntvaluein3-skew-locked-seed23-long-poll,fail,False,23,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,3,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,False,False,0,True,2,check_starting_data_search_exhausted,0,14,22,48,True,False,33,0,False,False,0,0,ab1687e28e8c2745919691dd2dbecf2f7abf0006d9e9edcea0f04b673d03e4af,2bbf2b4ef506bfa737d85dc021e72fd8d002377815264c8eac698723081c41da,66550539cbc2d23ca8cb0e1b11abc3818a3be72e447cbbd951c6ab11e6af2090,artifacts/hardware/cntvaluein3-lock-heldout-seeds-long-poll/cntvaluein3-skew-locked-seed23-long-poll.json,/nix/store/ywgvqpnn5cvpyx2q5bmln2k1zpjjz89z-ypcb-ddr3-nextpnr-json-seed-23-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/n6z627lni9wgm7651pbpfg1nb0c7pzwc-ypcb-ddr3-cvc-sdf-seed-23-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,long-poll retest still fails with check_starting_data_search_exhausted lane 0 start_index_check=48 dq_target_index=33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,6.0
cntvaluein3-skew-locked-seed27,cntvaluein3-lock-heldout-long-poll,cntvaluein3-skew-locked-seed27,pass,True,27,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,3c543c81bd9dd1181bfa7d3723459c4655c1219c173df7a328c082e0ce5a2b50,48e3b43ee62a4e2c8776d90dd20f1e412704d544076338281167c11514983d6a,0fa5cb1439d5620fd6e8b6a17e7a117d67d291c55b314d262195ed007a353cbc,artifacts/hardware/cntvaluein3-lock-heldout-seeds/cntvaluein3-skew-locked-seed27.json,/nix/store/yd2la7zbfnhg6f76xf1zv50r50x4lh1x-ypcb-ddr3-nextpnr-json-seed-27-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/84nf82p90zdhqqb0cpyhl7zm4fgagr95-ypcb-ddr3-cvc-sdf-seed-27-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,CNTVALUEIN3 two-cell lock passes baseline-fail-reason2 seed 27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,8.0
cntvaluein3-skew-locked-seed28-long-poll,cntvaluein3-lock-heldout-long-poll,cntvaluein3-skew-locked-seed28-long-poll,fail,False,28,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,3,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,False,False,0,True,2,check_starting_data_search_exhausted,0,14,22,48,True,False,33,0,False,False,0,0,6a014c56a963e3b3ce834c5b9a4f4d89aea8e58ac1464207cdef5f07c611269a,4d5f37289a848699883067166682e832e26b65ab98e33b5ed6082b9b9336bb0c,59062f322b8e58d834bdf1b21b66ed87ed971f3d6f837ec7935cf0f503d17973,artifacts/hardware/cntvaluein3-lock-heldout-seeds-long-poll/cntvaluein3-skew-locked-seed28-long-poll.json,/nix/store/qy7r5dyanp6k205ww90nyh12njjh6k2l-ypcb-ddr3-nextpnr-json-seed-28-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/6p2hfqii4cbk0hx76xg254vhds4lyr02-ypcb-ddr3-cvc-sdf-seed-28-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,long-poll retest still fails with check_starting_data_search_exhausted lane 0 start_index_check=48 dq_target_index=33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,8.0
cntvaluein3-skew-locked-seed30-long-poll,cntvaluein3-lock-heldout-long-poll,cntvaluein3-skew-locked-seed30-long-poll,fail,False,30,cntvaluein3_lock_heldout_long_poll_500,cntvaluein3-skew-locked,3,"calib_incomplete,calib_state_not_done,bist_not_done",0,2,False,False,0,True,2,check_starting_data_search_exhausted,0,14,22,48,True,False,33,0,False,False,0,0,36b2de2539112d2e6242ebce643b8abcda47ad5a230f7900e2a13efe3764e377,44ccd74689a4eed8790124304dba9903a500f3402051f5ee88ab647b6c7aac13,1b662cc0a792ea314c292f5229a8f5dc5acb54ad8ae67852ca34156fee75a744,artifacts/hardware/cntvaluein3-lock-heldout-seeds-long-poll/cntvaluein3-skew-locked-seed30-long-poll.json,/nix/store/6dcw2d3x9h06j55bnx71n6fggpfpvrx2-ypcb-ddr3-nextpnr-json-seed-30-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/f5n5mh496vjaajj5nbdqgni64xyjqjp7-ypcb-ddr3-cvc-sdf-seed-30-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,long-poll retest still fails with check_starting_data_search_exhausted lane 0 start_index_check=48 dq_target_index=33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,4.0
cntvaluein3-skew-locked-seed5,cntvaluein3-lock-heldout-long-poll,cntvaluein3-skew-locked-seed5,pass,True,5,cntvaluein3_lock_heldout_seed_batch,cntvaluein3-skew-locked,3,,23,22,True,True,0,False,0,none,0,0,0,0,False,False,0,0,False,False,0,0,41bfe6150b2799caf2c2bec52ebd0df7f6580be532e3040767ace615931494a3,e090f21735dc503149782ae16ca4a23fa1746e297dc49dbf71e5564d438835a5,831265e4f4bc562d8cb09fff81b8fecb10c97ee845403bf840ae0563c9d8f83b,artifacts/hardware/cntvaluein3-lock-heldout-seeds/cntvaluein3-skew-locked-seed5.json,/nix/store/8xjrc64wz0lvf7w3bg39i8w9n5j35h11-ypcb-ddr3-nextpnr-json-seed-5-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.placed.json,/nix/store/ww6bm7ifb7plxdn8jh95zw9m6s9h6lzg-ypcb-ddr3-cvc-sdf-seed-5-cntvaluein3-skew-locked/ypcb_00338_1p1_ddr3.cvc.sdf,CNTVALUEIN3 two-cell lock passes baseline-pass-control seed 5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
